Input Binary,Gray from Verilog,Gray from Python,Input Gray,Binary from Verilog,Binary from Python
1111,1000,1000,0110,0100,0100
1110,1001,1001,0110,0100,0100
1001,1101,1101,0101,0110,0110
0111,0100,0100,0110,0100,0100
1001,1101,1101,0111,0101,0101
1110,1001,1001,1000,1111,1111
0000,0000,0000,0001,0001,0001
0011,0010,0010,1010,1100,1100
0111,0100,0100,0011,0010,0010
0110,0101,0101,1011,1101,1101
1101,1011,1011,0011,0010,0010
0010,0011,0011,0011,0010,0010
0011,0010,0010,1010,1100,1100
0111,0100,0100,0000,0000,0000
0110,0101,0101,0011,0010,0010
0010,0011,0011,0011,0010,0010
